rank_in_side,channel,lean,subscribers,subscribers_display,total_views,total_views_display,category_note,source,confidence
19,Shoe0nHead,Right,2510000,2.51M,253504005,253.5M,Right-adjacent anti-woke commentary,SocialBlade handle @shoe0nhead 2026-09-12,medium
20,Next News Network,Right,2240000,2.24M,238816255,238.8M,Right news commentary,SocialBlade handle @nextnewsnetwork 2026-09-12,high
21,BlazeTV,Right,2230000,2.23M,1079267056,1.08B,Right media network,SocialBlade handle @blazetv 2026-09-12,high
22,China Uncensored,Right,2150000,2.15M,626655779,626.7M,Right-leaning anti-CCP commentary (often coded right-adjacent),SocialBlade handle @chinauncensored 2026-09-12,medium
23,Right Side Broadcasting Network,Right,2080000,2.08M,557732629,557.7M,Right Trump-rally / MAGA coverage,SocialBlade handle @rsbn 2026-09-12,high
24,Tucker Carlson Network,Right,2030000,2.03M,636065132,636.1M,Right commentary network,SocialBlade handle @tcnetwork 2026-09-12,high
25,Mark Dice,Right,1900000,1.9M,709267901,709.3M,Right commentary,SocialBlade handle @markdice 2026-09-12,high
26,Glenn Beck,Right,1790000,1.79M,701453623,701.5M,Right commentary,SocialBlade handle @glennbeck 2026-09-12,high
27,BlackConservative24,Right,1700000,1.7M,,,Right commentary,Feedspot conservative list 2026 (~1.7M),medium
28,Blaire White,Right,1500000,1.5M,,,Right commentary,Feedspot conservative list 2026 (~1.5M),medium
29,Tim Pool (Timcast),Right,1460000,1.46M,564473890,564.5M,Right/independent right-leaning commentary,SocialBlade handle @timcast 2026-09-12,high
30,Hodgetwins (secondary handle),Right,1340000,1.34M,240693491,240.7M,Right commentary — may overlap audience with Conservative Twins listing,SocialBlade handle @hodgetwins 2026-09-12,medium
31,Bill O'Reilly,Right,1120000,1.12M,591354991,591.4M,Right commentary,SocialBlade handle @billoreilly 2026-09-12,high
32,Liberty Hangout,Right,1120000,1.12M,214376268,214.4M,Right/libertarian-right commentary,SocialBlade handle @libertyhangout 2026-09-12,high
33,Anthony Brian Logan,Right,1100000,1.1M,,,Right commentary,Feedspot conservative/political list 2026 (~1.1M),medium
34,FreedomToons,Right,1090000,1.09M,310982362,311M,Right comedy/animation commentary,SocialBlade handle @freedomtoons 2026-09-12,high
35,Black Conservative Perspective,Right,1000000,1M,1210820522,1.21B,Right commentary,SocialBlade handle @blackconservativeperspective 2026-09-12,high
36,Allie Beth Stuckey,Right,744000,744K,,,Right commentary,Feedspot conservative list 2026,medium
37,Lauren Southern,Right,691000,691K,,,Right commentary,Feedspot right-wing list 2026 (~691–693K),medium
38,A Righteous Perspective,Right,663000,663K,,,Right commentary,Feedspot conservative list 2026,medium
39,James Klug,Right,637000,637K,,,Right commentary,Feedspot conservative list 2026,medium
40,Conservative Vibes,Right,604000,604K,,,Right commentary,Feedspot conservative list 2026,medium
41,Pierre Poilievre,Right,601000,601K,,,Right / Canadian Conservative politician,Feedspot conservative list 2026,medium
42,Roaming Millennial,Right,572000,572K,,,Right commentary,Feedspot political list 2026,medium
43,Hunter Avallone,Right,537000,537K,,,Right commentary,Feedspot right-wing list 2026,low
44,John Doyle,Right,366000,366K,,,Right commentary,Feedspot conservative list 2026,medium
45,Pop & Politics,Right,234000,234K,,,Right commentary,Feedspot conservative list 2026,medium
46,Kevin's Corner,Right,196000,196K,,,Right commentary,Feedspot conservative list 2026,low
47,Matt Goodwin,Right,164000,164K,,,Right / UK conservative commentary,Feedspot conservative list 2026,low
48,Mark Kaye,Right,122000,122K,,,Right commentary,Feedspot conservative list 2026,low
49,Hugh Hewitt,Right,105000,105K,,,Right commentary,Feedspot conservative list 2026,low
50,Stu Does America,Right,105000,105K,,,Right commentary,Feedspot conservative list 2026,low
